id,code1,code2,description,category,instructions,img,examples
,01,PET,,plastic,Laita muovijätteeseen,,
,02,PE-HD,,plastic,Laita muovijätteeseen,,
,03,PVC,,misc,Laita sekajätteeseen,,
,04,PE-LD,,plastic,Laita muovijätteeseen,,
,05,PP,,plastic,Laita muovijätteeseen,,
,06,PS,,plastic,Laita muovijätteeseen,,
,07,O,,plastic,Laita muovijätteeseen,,
,ABS,ABS,,misc,Laita sekajätteeseen,,
,PA,PA,,misc,Laita sekajätteeseen,,
,08,Lead,,toxic,Vie ongelmajätteen keräykseen,,
,09,Alkaline,,toxic,Vie ongelmajätteen keräykseen,,
,NiCD,NiCD,,toxic,Vie ongelmajätteen keräykseen,,
,11,NiMH,,toxic,Vie ongelmajätteen keräykseen,,
,12,Li,,toxic,Vie ongelmajätteen keräykseen,,
,13,SO(Z),,toxic,Vie ongelmajätteen keräykseen,,
,14,CZ,,toxic,Vie ongelmajätteen keräykseen,,
,20,PAP,,board,Laita kartonkikeräykseen,,
,21,PAP,,board,Laita kartonkikeräykseen,,
,22,PAP,,paper,Laita paperinkeräykseen,,
,40,FE,,metal,Laita metallinkeräykseen,,
,41,ALU,,metal,Laita metallinkeräykseen,,
,50,FOR,,misc,Laita sekajätteeseen,,
,51,FOR,,misc,Laita sekajätteeseen,,
,60,COT,,misc,Laita sekajätteeseen,,
,61,TEX,,misc,Laita sekajätteeseen,,
,70,GL,,lasi,Laita lasinkeräykseen,,
,71,GL,,lasi,Laita lasinkeräykseen,,
,72,GL,,lasi,Laita lasinkeräykseen,,
,73,GL,,lasi,Laita lasinkeräykseen,,
,74,GL,,lasi,Laita lasinkeräykseen,,
,81,PapPet,,board,Laita kartonkikeräykseen,,
,84,C/PAP,,board,Laita kartonkikeräykseen,,
,87,CSL,,misc,Laita sekajätteeseen,,
,90,C/LDPE,,misc,Laita sekajätteeseen,,
,91,C/LDPE,,misc,Laita sekajätteeseen,,